site,year,spp,mig.stat,n.terr
rushrunnorth,2005,AMRO,short,1
rushrunsouth,2005,AMRO,short,1
sgalena,2005,AMRO,short,2
tuttlenorth,2005,AMRO,short,1.5
tuttlesouth,2005,AMRO,short,2.5
woodside,2005,AMRO,short,3.25
casto,2006,AMRO,short,2.5
cherry,2006,AMRO,short,0.5
creeks,2006,AMRO,short,3
elkrun,2006,AMRO,short,4
galena,2006,AMRO,short,1
kennynorth,2006,AMRO,short,3.5
kennysouth,2006,AMRO,short,1.5
lounorth,2006,AMRO,short,2
lousouth,2006,AMRO,short,6.25
prairie,2006,AMRO,short,2
pubhunt,2006,AMRO,short,2
rushrunnorth,2006,AMRO,short,2
rushrunsouth,2006,AMRO,short,3
sgalena,2006,AMRO,short,1.25
tuttlenorth,2006,AMRO,short,1
tuttlesouth,2006,AMRO,short,2.75
woodside,2006,AMRO,short,2
casto,2007,AMRO,short,2.25
cherry,2007,AMRO,short,1
creeks,2007,AMRO,short,3
elkrun,2007,AMRO,short,2.25
galena,2007,AMRO,short,0.75
kennynorth,2007,AMRO,short,0.75
kennysouth,2007,AMRO,short,1.75
lounorth,2007,AMRO,short,2
lousouth,2007,AMRO,short,4.25
prairie,2007,AMRO,short,3
pubhunt,2007,AMRO,short,1
rushrunnorth,2007,AMRO,short,1.5
rushrunsouth,2007,AMRO,short,2
sgalena,2007,AMRO,short,2
tuttlenorth,2007,AMRO,short,2.25
tuttlesouth,2007,AMRO,short,2.75
woodside,2007,AMRO,short,0.5
casto,2008,AMRO,short,1.75
cherry,2008,AMRO,short,0
creeks,2008,AMRO,short,3
elkrun,2008,AMRO,short,1
galena,2008,AMRO,short,0.75
kennynorth,2008,AMRO,short,1
kennysouth,2008,AMRO,short,4.5
lounorth,2008,AMRO,short,2.75
lousouth,2008,AMRO,short,4.25
prairie,2008,AMRO,short,2.75
pubhunt,2008,AMRO,short,1
rushrunnorth,2008,AMRO,short,1
rushrunsouth,2008,AMRO,short,3
sgalena,2008,AMRO,short,1.25
tuttlenorth,2008,AMRO,short,3.5
tuttlesouth,2008,AMRO,short,2.75
woodside,2008,AMRO,short,2.25
casto,2009,AMRO,short,2.25
cherry,2009,AMRO,short,1
creeks,2009,AMRO,short,2
elkrun,2009,AMRO,short,3
galena,2009,AMRO,short,0.5
kennynorth,2009,AMRO,short,3.5
kennysouth,2009,AMRO,short,4.25
lounorth,2009,AMRO,short,1.5
lousouth,2009,AMRO,short,3
prairie,2009,AMRO,short,5.25
pubhunt,2009,AMRO,short,2.5
rushrunnorth,2009,AMRO,short,2
rushrunsouth,2009,AMRO,short,2
sgalena,2009,AMRO,short,2
tuttlenorth,2009,AMRO,short,1
tuttlesouth,2009,AMRO,short,2
woodside,2009,AMRO,short,1.75
casto,2010,AMRO,short,3.75
cherry,2010,AMRO,short,0.25
creeks,2010,AMRO,short,2.75
elkrun,2010,AMRO,short,2
galena,2010,AMRO,short,0.75
kennynorth,2010,AMRO,short,1.5
kennysouth,2010,AMRO,short,5.25
lounorth,2010,AMRO,short,2.5
lousouth,2010,AMRO,short,3.5
prairie,2010,AMRO,short,2.25
pubhunt,2010,AMRO,short,1.5
rushrunnorth,2010,AMRO,short,2
rushrunsouth,2010,AMRO,short,4
sgalena,2010,AMRO,short,0
tuttlenorth,2010,AMRO,short,3
tuttlesouth,2010,AMRO,short,1.75
woodside,2010,AMRO,short,3
